release	name	tags	author	source	credit
2015-09-03	kindness=f(IQ)	morality			
2015-09-16	productivity=f(time)	productivity,work life			
2015-10-02	care_for_look=f(fat)	body image			
2015-10-16	time_of_the_day=f(energy,distractions)	productivity,work life			
2015-10-29	goodness=f(witnesses)	morality			
2015-11-03	good_time_for_drinking=f(week_day)	work life	Chaz Hutton	https://instagram.com/p/9aj9a8m9fm	Original idea by 
2015-11-09	quantity_of_subjects=f(quantity_of_knowledge)	academia	PhD Comics	http://www.phdcomics.com/comics/archive.php?comicid=1056	Inspired by 
2015-11-16	productivity=f(population)	productivity			
2015-11-23	perceived_week_length=f(week_day)	work life	Chaz Hutton	https://instagram.com/p/8nqZ4Pm9Qz	Inspired by 
2015-11-30	specialness=f(population)	morality	SMBC comics	http://smbc-comics.com/index.php?id=1246	From
2015-12-07	skill=f(peoples_skills,own_skills)	morality,work life			
2015-12-14	time_cost=f(strategies,decision_making)	productivity	xkcd	https://xkcd.com/1445/	Original idea by 
2015-12-21	money_earned,money_desired=f(time)	money,growing up			
2015-12-28	partying_late,waking_up_early=f(age)	growing up	Chaz Hutton	https://instagram.com/p/7cpzvSm9Xv	By
2016-01-04	money_left,money_perceived=f(evening_weekend)	money	Chaz Hutton	https://instagram.com/p/9DptAhm9bq	Original idea by 
2016-01-11	total_happiness=f(number_of_kids)	morality			
